sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,wind_speed,wind_direc,publishtime,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
基隆,基隆市,57,細懸浮微粒,普通,0.4,0.19,57.5,54.6,50,21,3.5,4.1,0.6,1.6,87,"2023/05/09 10:00:00",0.1,17,37,0,121.760056,25.129167,1
汐止,新北市,44,,良好,1.1,0.17,48.6,39,45,15,11.5,14.2,2.6,2.8,31,"2023/05/09 10:00:00",0.2,13,33,0,121.64081,25.06624,2
萬里,新北市,73,懸浮微粒,普通,0.8,0.18,61.4,59.9,83,24,3.2,4.3,1,5.6,42,"2023/05/09 10:00:00",0.1,18,73,0,121.689881,25.179667,3
新店,新北市,32,,良好,,,46.5,35.9,,11,,,,2,32,"2023/05/09 10:00:00",0.2,7,22,0,121.537778,24.977222,4
土城,新北市,38,,良好,1.8,0.28,40.5,41.7,38,15,12.2,14.1,1.8,1.4,126,"2023/05/09 10:00:00",0.2,11,26,1,121.451861,24.982528,5
板橋,新北市,44,,良好,0.5,0.31,45.5,39.4,39,20,13,15.3,2.3,2.1,30,"2023/05/09 10:00:00",0.3,13,26,0,121.458667,25.012972,6
新莊,新北市,42,,良好,0.9,0.21,51.2,44.1,44,17,10.4,12.3,1.8,4.6,61,"2023/05/09 10:00:00",0.2,13,31,0,121.4325,25.037972,7
菜寮,新北市,52,細懸浮微粒,普通,0.8,0.26,49.6,45.8,42,21,11.3,13.2,1.8,3.1,72,"2023/05/09 10:00:00",0.2,15,26,0,121.481028,25.06895,8
林口,新北市,39,,良好,,,,42.7,42,15,,,,1.6,81,"2023/05/09 10:00:00",0.2,11,30,0,121.36548982,25.07798949,9
淡水,新北市,45,,良好,0.9,0.17,53.2,49.2,41,18,2.8,3.7,0.8,,,"2023/05/09 10:00:00",0.1,12,29,0,121.449239,25.1645,10
士林,臺北市,45,,良好,1.5,0.2,49.2,49.7,47,16,9.7,11.2,1.5,1.6,62,"2023/05/09 10:00:00",0.1,11,30,1,121.51666356,25.10334003,11
中山,臺北市,41,,良好,0.9,0.4,38.7,41,50,18,23.7,30.6,6.8,1.7,100,"2023/05/09 10:00:00",0.3,12,32,0,121.526528,25.062361,12
萬華,臺北市,43,,良好,0.9,0.28,43.3,43.2,44,18,17.5,21.2,3.7,2.9,94,"2023/05/09 10:00:00",0.2,13,29,0,121.507972,25.046503,13
古亭,臺北市,41,,良好,1,0.26,41.4,39.5,37,17,14.1,17.2,3.1,1.9,58,"2023/05/09 10:00:00",0.2,12,28,0,121.529556,25.020608,14
松山,臺北市,38,,良好,1,0.21,48.1,41.2,51,15,11.3,13.9,2.5,3.2,45,"2023/05/09 10:00:00",0.2,11,35,1,121.578611,25.05,15
大同,臺北市,51,細懸浮微粒,普通,0.8,0.44,33.2,35.8,51,18,24.9,37,12,-,-,"2023/05/09 10:00:00",0.4,15,39,0,121.51342074,25.06331455,16
桃園,桃園市,42,,良好,1.6,0.4,36.6,33.7,44,19,20.4,26.8,6.4,3.1,50,"2023/05/09 10:00:00",0.3,12,28,1,121.30500531,24.9947107,17
大園,桃園市,42,,良好,2.3,0.2,44.4,45.1,49,16,18.4,22.4,4,5.1,38,"2023/05/09 10:00:00",0.1,11,34,1,121.20251473,25.06100357,18
觀音,桃園市,47,,良好,1,0.14,53.7,49.6,46,18,6.4,7.7,1.2,5.9,63,"2023/05/09 10:00:00",0.1,14,36,1,121.08283092,25.03556747,19
平鎮,桃園市,34,,良好,1.3,0.4,42,37.3,40,13,14.5,17.9,3.4,3.7,68,"2023/05/09 10:00:00",0.3,8,27,0,121.203986,24.952786,20
龍潭,桃園市,41,,良好,0.5,0.23,48.8,44.6,42,15,9,10.8,1.8,5.2,56,"2023/05/09 10:00:00",0.2,11,28,0,121.21645772,24.86400048,21
湖口,新竹縣,41,,良好,1.4,0.27,43,44.4,41,14,11.6,13.4,1.8,4.3,53,"2023/05/09 10:00:00",0.2,11,29,1,121.03886894,24.90009696,22
竹東,新竹縣,44,,良好,0.8,0.16,49.8,48.4,36,12,6.2,7.7,1.4,2.9,62,"2023/05/09 10:00:00",0.1,7,25,0,121.08895493,24.74091408,23
新竹,新竹市,37,,良好,1.8,0.3,45.9,40.3,27,14,12.6,14.3,1.6,2.8,54,"2023/05/09 10:00:00",0.2,10,22,1,120.97236752,24.8056356,24
頭份,苗栗縣,37,,良好,1.2,0.22,47.7,40.7,39,14,8.4,10.6,2.2,3.8,68,"2023/05/09 10:00:00",0.2,10,24,1,120.89869286,24.69690679,25
苗栗,苗栗縣,40,,良好,2.3,0.17,47.9,43.6,39,15,6.8,8.5,1.7,3.7,18,"2023/05/09 10:00:00",0.1,9,24,2,120.82011468,24.56499183,26
三義,苗栗縣,40,,良好,1,,45.6,43.7,22,13,3.9,5.6,1.6,5.2,20,"2023/05/09 10:00:00",,8,16,0,120.75956754,24.38248443,27
豐原,臺中市,31,,良好,1.6,0.21,34.2,34.9,15,9,3,4.1,1.1,2.5,36,"2023/05/09 10:00:00",0.2,6,11,,120.74252414,24.25699731,28
沙鹿,臺中市,43,,良好,1.4,0.2,47.8,46.1,28,12,6.1,7.2,1.1,4.8,7,"2023/05/09 10:00:00",0.1,7,18,1,120.568794,24.225628,29
大里,臺中市,29,,良好,1.6,0.35,32.3,31.1,22,9,14,16.9,2.9,2.2,345,"2023/05/09 10:00:00",0.2,4,13,1,120.67844444,24.09961111,30
忠明,臺中市,34,,良好,1.1,0.31,35.1,37.2,23,11,13.6,16.2,2.5,2.3,37,"2023/05/09 10:00:00",0.2,7,17,0,120.641092,24.151958,31
西屯,臺中市,38,,良好,0.8,0.2,42.5,41,19,17,8,9.9,1.9,3.9,9,"2023/05/09 10:00:00",0.2,11,17,0,120.616917,24.162197,32
彰化,彰化縣,36,,良好,1,0.28,40.9,39.1,28,8,10.1,12.1,2,3.8,353,"2023/05/09 10:00:00",0.2,6,17,0,120.541519,24.066,33
線西,彰化縣,37,,良好,1.6,0.19,43.4,40.9,29,14,7.4,9.6,2.1,5.6,29,"2023/05/09 10:00:00",0.1,10,18,2,120.469061,24.131672,34
二林,彰化縣,41,,良好,2.5,0.22,48.2,44.4,28,12,5.3,5.3,0,5.5,27,"2023/05/09 10:00:00",0.2,7,18,2,120.409653,23.925175,35
南投,南投縣,24,,良好,1.2,0.37,29.1,26.4,21,6,12.5,17.2,4.6,2.2,30,"2023/05/09 10:00:00",0.2,5,14,0,120.685306,23.913,36
斗六,雲林縣,27,,良好,2.3,0.28,34.8,29.8,25,5,7.5,9.9,2.3,2.2,326,"2023/05/09 10:00:00",0.2,5,19,1,120.544994,23.711853,37
崙背,雲林縣,38,,良好,0.9,0.23,45.4,41.1,23,7,4.4,5.7,1.3,1.5,332,"2023/05/09 10:00:00",0.2,6,17,1,120.348742,23.757547,38
新港,嘉義縣,36,,良好,,,40,39.8,17,9,,,,2.7,350,"2023/05/09 10:00:00",0.2,6,14,1,120.345531,23.554839,39
朴子,嘉義縣,40,,良好,1.6,0.25,46,43.3,21,8,6.2,6.9,0.7,2.7,350,"2023/05/09 10:00:00",0.2,7,15,1,120.2478,23.46538,40
臺西,雲林縣,41,,良好,1.1,0.19,50.3,44.5,44,9,4.1,5.4,1.3,7.8,21,"2023/05/09 10:00:00",0.2,5,26,1,120.19933333,23.702175,41
嘉義,嘉義市,24,,良好,2.8,0.35,25.6,26.7,27,9,13.8,18,4.2,2.1,352,"2023/05/09 10:00:00",0.2,7,21,2,120.44125148,23.46477865,42
新營,臺南市,30,,良好,1.1,0.28,32.3,32.8,21,4,11.4,12.7,1.3,1.7,3,"2023/05/09 10:00:00",0.2,5,14,1,120.31725,23.305633,43
善化,臺南市,25,,良好,2.6,0.31,25.1,27,17,7,11.4,13.7,2.3,1.6,346,"2023/05/09 10:00:00",0.2,6,12,1,120.29740529,23.11337642,44
安南,臺南市,26,,良好,1.5,0.33,26.3,28.3,23,10,13.2,16.9,3.6,2,12,"2023/05/09 10:00:00",0.2,7,17,1,120.2175,23.048197,45
臺南,臺南市,28,,良好,1,0.42,21.8,24.2,29,14,17.6,22.4,4.7,0.6,0,"2023/05/09 10:00:00",0.2,8,20,0,120.22085,22.99123,46
美濃,高雄市,35,,良好,0.3,0.35,21.4,17.6,30,12,9.8,12.3,2.4,0.7,226,"2023/05/09 10:00:00",0.3,10,27,1,120.530542,22.883583,47
橋頭,高雄市,33,,良好,1.6,0.39,17.3,18.3,37,11,17.2,22,4.8,1.5,20,"2023/05/09 10:00:00",0.3,10,27,1,120.305689,22.757506,48
仁武,高雄市,52,二氧化氮,普通,1.8,0.55,8.2,12.9,53,17,33.9,48.5,14.5,0.9,5,"2023/05/09 10:00:00",0.3,14,35,1,120.332631,22.689056,49
鳳山,高雄市,60,細懸浮微粒,普通,3.2,0.87,10.8,10.3,49,26,32.8,40.9,8,0.8,98,"2023/05/09 10:00:00",0.5,19,34,2,120.357422,22.628126,50
大寮,高雄市,61,細懸浮微粒,普通,3.4,0.41,23.7,13.7,54,26,16.3,18.5,2.2,1.3,182,"2023/05/09 10:00:00",0.3,19,44,2,120.425311,22.56413611,51
林園,高雄市,43,,良好,2.6,0.31,28,14.6,23,8,10.8,12.3,1.4,1.5,242,"2023/05/09 10:00:00",0.3,13,37,1,120.41175,22.4795,52
楠梓,高雄市,36,,良好,2,0.44,12.1,15.1,31,16,20.8,27.7,6.8,1.2,341,"2023/05/09 10:00:00",0.3,11,25,1,120.328289,22.733667,53
左營,高雄市,45,,良好,1.5,0.55,13.5,16.7,34,14,21.4,27.8,6.4,0.9,308,"2023/05/09 10:00:00",0.3,14,29,1,120.292917,22.674861,54
前金,高雄市,40,,良好,1.4,0.62,15.4,16.4,40,18,21.5,27.9,6.4,0.4,288,"2023/05/09 10:00:00",0.4,12,30,1,120.28676111,22.63390278,56
前鎮,高雄市,55,二氧化氮,普通,3,0.7,8.3,13.6,59,24,37.5,54.3,16.7,1.1,185,"2023/05/09 10:00:00",0.5,16,35,1,120.30833356,22.6044507,57
小港,高雄市,63,細懸浮微粒,普通,4.2,0.47,4.3,10.2,48,25,38.9,62.2,23.2,1.4,255,"2023/05/09 10:00:00",0.4,20,35,1,120.337736,22.565833,58
屏東,屏東縣,57,細懸浮微粒,普通,3.4,0.49,29.3,16.1,57,26,16.7,19.3,2.6,1.8,174,"2023/05/09 10:00:00",0.3,18,43,1,120.488033,22.673081,59
潮州,屏東縣,60,細懸浮微粒,普通,1.5,0.4,28,22.3,42,22,12.2,14,1.7,1.3,250,"2023/05/09 10:00:00",0.4,19,36,0,120.561175,22.523108,60
恆春,屏東縣,42,,良好,0.8,0.18,46.8,45.1,1,0,1,1.6,0.6,8.3,24,"2023/05/09 10:00:00",0.1,0,3,0,120.788928,21.958069,61
臺東,臺東縣,32,,良好,0.4,0.3,33.6,35.5,14,3,6.8,7.9,1.1,1.9,19,"2023/05/09 10:00:00",0.2,1,11,0,121.15045,22.755358,62
花蓮,花蓮縣,34,,良好,0.9,0.24,51.1,37.5,38,9,7.1,8,0.8,2.5,43,"2023/05/09 10:00:00",0.2,5,16,0,121.599769,23.971306,63
陽明,臺北市,48,,良好,0.4,0.16,53.4,52.7,37,12,0.8,1.2,0.4,,,"2023/05/09 10:00:00",0.1,7,26,0,121.529583,25.182722,64
宜蘭,宜蘭縣,30,,良好,0.8,0.16,44.5,32.9,32,11,3.4,4.8,1.3,0.6,200,"2023/05/09 10:00:00",0.1,5,17,0,121.746394,24.747917,65
冬山,宜蘭縣,38,,良好,0.6,0.19,46.2,41,38,10,6.9,9.4,2.4,1.8,330,"2023/05/09 10:00:00",0.2,6,26,0,121.792928,24.632203,66
